"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgvehicles_mosin_bayonet0","Mosin 91/30 Bayonet","Mosin 91/30 Bayonet","Bajonet Mosin 91/30","Mosin 91/30-Bajonett","Штык для винтовки Мосина","Bagnet Mosin 91/30","Mosin 91/30 Bayonet","Baionetta Mosin 91/30","Bayoneta para Mosin 91/30","Baïonnette de Mosin 91/30","Mosin 91/30 刺刀","モシン 91/30 銃剣","Mosin 91/30 Bayonet","Mosin 91/30 刺刀",

"str_iz_cfgvehicles_m68optic0","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic","M68 CC-Optic",
"str_iz_cfgvehicles_m68optic1","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Standardní optika bez zvětšení namontovatelná na lištu určená na útočnou pušku M4A1. Optika má osvětlený záměrný kříž napájený baterií.","Standardisiertes, schienengeführtes Zielfernrohr ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen. Mit M4A1-Sturmgewehr kompatibel.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке. Разработан для автомата M4A1.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia. Pasuje do karabinu szturmowego M4A1.","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","Ottiche prive di zoom montate su scanalatura e standardizzate, con reticolo illuminato alimentato a batteria, progettate per il fucile d’assalto M4A1.","Una mira de acople básico, sin lente de aumento. Incluye una retícula iluminada (la cual requiere batería) que ha sido diseñada específicamente para el fusil de asalto M4A1.","Un viseur standardisé sans grossissement, monté sur rail avec réticule éclairé à pile. Pour le fusil d'assaut M4A1.","無放大功能的標準導軌式光學瞄具，具電池式發光標線，適用於 M4A1 突擊步槍。","M4A1 アサルトライフルのためにデザインされ、電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","Standardized rail-mounted, non-magnifying optics with battery-powered illuminated reticle designed for M4A1 assault rifle.","为 M4A1 突击步枪设计的标准化轨道式非放大光学瞄具，带电池供电的照明分划板。",

"str_iz_cfgvehicles_m4_t3nrdsoptic0","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights","T3N RD-Sights",
"str_iz_cfgvehicles_m4_t3nrdsoptic1","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","Standardní optika bez zvětšení s montáží na lištu s osvětleným záměrným křížem napájeným baterií.","Standardisiertes, schienengeführtes Zielvisier ohne Vergrößerung und mit batteriebetriebenem Leuchtabsehen.","Стандартный реечный прицел без увеличения с устройством освещения сетки на батарейке.","Doczepiany do szyny uniwersalny celownik z podświetlaną siatką bez powiększenia.","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","Ottiche montate su scanalatura, standardizzate, prive di zoom e con reticolo illuminato alimentato a batteria.","Una mira de acople básico y sin lente de aumento que incluye una retícula iluminada que requiere batería.","Un viseur sans grossissement monté sur rail, avec réticule éclairé à pile.","無放大功能的標準導軌式光學瞄具，具電池式發光標線。","電池式で光る十字線を持つ、標準化されたレール取り付け型で拡大機能のない照準器。","A standardized rail-mounted, non-magnifying optics with a battery-powered illuminated reticle.","标准化轨道式非放大光学瞄具，带电池供电的照明分划板。",

"str_iz_cfgvehicles_m9a1_bayonet0","M4A1 Bayonet","M4A1 Bayonet","Bajonet M4A1","M4A1-Bajonett","Штык для M4A1","Bagnet M4A1","M4A1 Bayonet","Baionetta M4A1","Bayoneta para M4A1","Baïonnette de M4A1","M4A1 刺刀","M4A1 銃剣","M4A1 Bayonet","M4A1 刺刀",
"str_iz_cfgvehicles_m9a1_bayonet1","A bayonet for M4A1 assault rifle with a bayonet lug.","A bayonet for M4A1 assault rifle with a bayonet lug.","Bajonet na útočnou pušku M4A1 s montáží na bajonet.","Ein Bajonett für das M4A1-Sturmgewehr mit Bajonettaufsatz.","Штык для автомата M4A1 с выступом для крепления штыка.","Bagnet na karabin M4A1 z odpowiednim uchwytem.","A bayonet for M4A1 assault rifle with a bayonet lug.","Una baionetta per fucile d’assalto M4A1 dotato di attacco per baionetta.","Una bayoneta para el fusil de asalto M4A1, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil d'assaut M4A1.","刺刀，可加裝在有刺刀座的 M4A1 突擊步槍。","着剣ラグのある M4A1 アサルトライフルのための銃剣。","A bayonet for M4A1 assault rifle with a bayonet lug.","一种带有刺刀座的 M4A1 突击步枪的刺刀。",

"str_iz_cfgvehicles_m4_suppressor0","Standardized Suppressor","Standardized Suppressor","Standardizovaný tlumič","Standardisierter Schalldämpfer","Стандартный глушитель","Standardowy tłumik","Standardized Suppressor","Silenziatore standardizzato","Silenciador estándar","Silencieux standardisé","標準消音器","標準サプレッサー","Standardized Suppressor","标准化抑制器",
"str_iz_cfgvehicles_m4_suppressor1","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně na vybrané pušky aliančních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Ein Laufaufsatz für diverse Gewehre, das von den Allianzstreitkräften eingesetzt wurde. Reduziert Lärm und Mündungsfeuer.","Глушитель для некоторых винтовок, состоящих на вооружении сил альянса. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik do wybranych karabinów wykorzystywanych przez siły przymierza. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’alleanza per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de fusiles de las tropas de la Alianza. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains fusils de l'Alliance. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於盟軍的某些步槍。降低開槍時的聲音強度與槍口火光。","同盟軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","联盟部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

"str_iz_cfgvehicles_m4_rishndgrd0","M4A1 Rail Handguard","M4A1 Rail Handguard","Předpažbí s lištami M4A1","M4A1-Schienen-Handschutz","Реечное цевьё M4A1","Łoże lufy M4A1","M4A1 Rail Handguard","Paramani da scanalatura M4A1","Empuñadura de riel M4A1","Garde-main à rail de M4A1","M4A1 導軌扶手","M4A1 レールハンドガード","M4A1 Rail Handguard","M4A1 钢轨护手",
"str_iz_cfgvehicles_m4_rishndgrd1","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","Předpažbí s lištami na útočnou pušku M4A1. Umožňuje namontování dalších doplňků.","Schienen-Handschutz für das M4A1-Sturmgewehr. Ermöglicht Anbringung weiterer Zubehörteile.","Реечная ствольная накладка для автомата M4A1. Позволяет устанавливать различные приспособления.","Łoże do karabinu szturmowego M4A1. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","Paramani da scanalatura per il fucile d’assalto M4A1. Consente di montare ulteriori accessori.","Una empuñadura de riel para el fusil de asalto M4A1. Se le pueden enganchar accesorios adicionales.","Un garde-main pour le fusil d'assaut M4A1. Le rail permet l'ajout d'accessoires.","導軌扶手，適用 M4A1 突擊步槍。可額外加裝配件。","M4A1 アサルトライフルのためのレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","M4A1 突击步枪的钢轨护手。可安装额外的附件。",

"str_iz_cfgvehicles_m4_plastichndgrd0","M4A1 Polymer Handguard","M4A1 Polymer Handguard","Polymerové předpažbí M4A1","M4A1-Polymer-Handschutz","Полимерное цевьё M4A1","Polimerowe łoże lufy M4A1","M4A1 Polymer Handguard","Paramani in polimero M4A1","Empuñadura de polímero M4A1","Garde-main polymère de M4A1","M4A1 聚合物扶手","M4A1 ポリマーハンドガード","M4A1 Polymer Handguard","M4A1 聚合物护手",
"str_iz_cfgvehicles_m4_plastichndgrd1","A polymer handguard for M4A1 assault rifle.","A polymer handguard for M4A1 assault rifle.","Polymerové předpažbí na útočnou pušku M4A1.","Polymer-Handschutz für das M4A1-Sturmgewehr.","Полимерная ствольная накладка для автомата M4A1.","Polimerowe łoże do karabinu szturmowego M4A1.","A polymer handguard for M4A1 assault rifle.","Paramani in polimero per il fucile d’assalto M4A1.","Una empuñadura de polímero para el fusil de asalto M4A1.","Un garde-main en polymère pour fusil d'assaut M4A1.","聚合物扶手，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのためのポリマーハンドガード。","A polymer handguard for M4A1 assault rifle.","M4A1 突击步枪的聚合物护手。",

"str_iz_cfgvehicles_m4_oebttstck0","M4A1 Telescopic Buttstock","M4A1 Telescopic Buttstock","Teleskopická pažba M4A1","Ausziehbare M4A1-Schulterstütze","Складной приклад для M4A1","Teleskopowa kolba M4A1","M4A1 Telescopic Buttstock","Calcio telescopico M4A1","Culata telescópica M4A1","Crosse télescopique de M4A1","M4A1 伸縮式槍托","M4A1 伸縮式銃床","M4A1 Telescopic Buttstock","M4A1 伸缩式枪托",
"str_iz_cfgvehicles_m4_oebttstck1","A telescopic buttstock for M4A1 assault rifle.","A telescopic buttstock for M4A1 assault rifle.","Teleskopická pažba na útočnou pušku M4A1.","Ausziehbare Schulterstütze für das M4A1-Sturmgewehr.","Телескопический приклад для автомата M4A1.","Teleskopowa kolba do karabinu szturmowego M4A1.","A telescopic buttstock for M4A1 assault rifle.","Calcio telescopico per il fucile d’assalto M4A1.","Una culata telescópica para el fusil de asalto M4A1.","Une crosse télescopique pour fusil d'assaut M4A1.","伸縮式槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための伸縮式銃床。","A telescopic buttstock for M4A1 assault rifle.","M4A1 突击步枪的伸缩式枪托。",

"str_iz_cfgvehicles_m4_mphndgrd0","M4A1 MP Handguard","M4A1 MP Handguard","Předpažbí M4A1 MP","M4A1-MP-Handschutz","Цевьё MP для M4A1","Łoże lufy MP M4A1","M4A1 MP Handguard","Paramani MP M4A1","Empuñadura para M4A1 MP","Garde-main MP de M4A1","M4A1 MP 扶手","M4A1 MP ハンドガード","M4A1 MP Handguard","M4A1 MP 护手",
"str_iz_cfgvehicles_m4_mphndgrd1","A MP series handguard for M4A1 assault rifle.","A MP series handguard for M4A1 assault rifle.","Předpažbí série MP na útočnou pušku M4A1.","Ein Handschutz der MP-Serie für das M4A1-Sturmgewehr.","Ствольная накладка серии MP для автомата M4A1.","Łoże z serii MP do karabinu szturmowego M4A1.","A MP series handguard for M4A1 assault rifle.","Paramani serie MP per il fucile d’assalto M4A1.","Una empuñadura de serie MP para el fusil de asalto M4A1.","Un garde-main de la série MP pour le fusil d'assaut M4A1.","MP 系列扶手，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための MP シリーズハンドガード。","A MP series handguard for M4A1 assault rifle.","M4A1 突击步枪的 MP 系列护手。",

"str_iz_cfgvehicles_m4_mpbttstck0","M4A1 MP Buttstock","M4A1 MP Buttstock","Pažba M4A1 MP","M4A1-MP-Schulterstütze","Приклад MP для M4A1","Kolba MP M4A1","M4A1 MP Buttstock","Calcio MP M4A1","Culata M4A1 MP","Crosse MP de M4A1","M4A1 MP 槍托","M4A1 MP 銃床","M4A1 MP Buttstock","M4A1 MP 枪托",
"str_iz_cfgvehicles_m4_mpbttstck1","A MP series buttstock for M4A1 assault rifles.","A MP series buttstock for M4A1 assault rifles.","Pažba série MP na útočnou pušku M4A1.","Eine Schulterstütze der MP-Serie für das M4A1-Sturmgewehr.","Приклад серии MP для автомата M4A1.","Kolba z serii MP do karabinu szturmowego M4A1.","A MP series buttstock for M4A1 assault rifles.","Calcio serie MP per fucili d’assalto M4A1.","Una culata de serie MP para fusiles de asalto M4A1.","Une crosse de la série MP pour le fusil d'assaut M4A1.","MP 系列槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための MP シリーズ銃床。","A MP series buttstock for M4A1 assault rifles.","M4A1 突击步枪的 MP 系列枪托。",

"str_iz_cfgvehicles_m4_cqbbttstck0","M4A1 CQB Buttstock","M4A1 CQB Buttstock","Pažba M4A1 CQB","M4A1-CQB-Schulterstütze","Короткий приклад M4A1","Kolba CQB M4A1","M4A1 CQB Buttstock","Calcio CQB M4A1","Culata M4A1 CQB","Crosse CQB de M4A1","M4A1 近戰槍托","M4A1 CQB 銃床","M4A1 CQB Buttstock","M4A1 CQB 枪托",
"str_iz_cfgvehicles_m4_cqbbttstck1","A CQB buttstock for M4A1 assault rifles.","A CQB buttstock for M4A1 assault rifles.","Pažba CQB na útočnou pušku M4A1.","Eine Nahkampf-Schulterstütze für das M4A1-Sturmgewehr.","Приклад для ближнего боя для автоматов M4A1.","Kolba CQB do karabinu szturmowego M4A1.","A CQB buttstock for M4A1 assault rifles.","Calcio CQB per fucili d’assalto M4A1.","Una culata CBQ para fusiles de asalto M4A1.","Une crosse CQB pour le fusil d'assaut M4A1.","近戰槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための CQB 銃床。","A CQB buttstock for M4A1 assault rifles.","M4A1 突击步枪的 CQB 枪托。",
