"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_ak_railhndgrd1",				"A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","Lištové předpažbí útočné pušky AK. Umožňuje namontování dalších doplňků.","Ein Handschutz mit Schiene für AK-basierte Sturmgewehre. Ermöglicht das Anbringen zusätzlicher Aufsätze.","Реечная ствольная накладка для автомата системы AK. Позволяет устанавливать различные приспособления.","Łoże do karabinu szturmowego AK. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","Paramani da scanalatura per fucili d’assalto di derivazione AK. Consente di montare ulteriori accessori.","Una empuñadura de riel para fusiles de asalto AK. Se le pueden enganchar accesorios adicionales.","Un garde-main pour les fusils d'assaut de type AK. Le rail permet l'ajout d'accessoires.","導軌扶手，適用 AK 系列突擊步槍。可額外加裝配件。","AK ベースのアサルトライフルのためのレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard for AK based assault rifle. Allows mounting of additional accessories.","AK 型突击步枪的钢轨护手。可安装额外的附件。",

"str_cfgvehicles_ak_plastichndgrd0",			"AK Polymer Handguard","AK Polymer Handguard","Polymerové předpažbí AK","AK-Polymer-Handschutz","Полимерная ствольная накладка AK","Polimerowe łoże lufy AK","AK Polymer Handguard","Paramani in polimero AK","Empuñadura de polímero AK","Garde-main polymère de AK","AK 聚合物扶手","AK ポリマーハンドガード","AK Polymer Handguard","AK 聚合物护手",
"str_cfgvehicles_ak_plastichndgrd1",			"A polymer handguard for AK based assault rifles.","A polymer handguard for AK based assault rifles.","Polymerové předpažbí na útočné pušky AK.","Ein Polymer-Handschutz für AK-basierte Sturmgewehre.","Полимерная ствольная накладка для автоматов системы AK.","Polimerowe łoże lufy do karabinu szturmowego AK.","A polymer handguard for AK based assault rifles.","Paramani in polimero per fucili d’assalto di derivazione AK.","Una empuñadura de polímero para fusiles de asalto tipo AK.","Un garde-main en polymère pour les fusils d'assaut de type AK.","聚合物扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのためのポリマーハンドガード。","A polymer handguard for AK based assault rifles.","AK 型突击步枪的聚合物护手。",

"str_cfgvehicles_ak_plasticbttstck0",			"AK Polymer Buttstock","AK Polymer Buttstock","Polymerová pažba AK","AK-Polymer-Schulterstütze","Полимерный приклад AK","Polimerowa kolba AK","AK Polymer Buttstock","Calcio in polimero AK","Culata de polímero AK","Crosse polymère de AK","AK 聚合物槍托","AK ポリマー銃床","AK Polymer Buttstock","AK 聚合物枪托",
"str_cfgvehicles_ak_plasticbttstck1",			"A polymer buttstock for AK based assault rifles.","A polymer buttstock for AK based assault rifles.","Polymerová pažba na útočné pušky AK.","Polymer-Schulterstütze für AK-basierte Sturmgewehre.","Полимерный приклад для автоматов системы AK.","Polimerowa kolba do karabinu szturmowego AK.","A polymer buttstock for AK based assault rifles.","Calcio in polimero per fucili d’assalto di derivazione AK.","Una culata de polímero para fusiles de asalto tipo AK.","Une crosse en polymère pour les fusils de type AK.","聚合物槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのためのポリマー銃床。","A polymer buttstock for AK based assault rifles.","AK 型突击步枪的聚合物枪托。",

"str_cfgvehicles_ak_foldingbttstck0",			"AK Folding Buttstock","AK Folding Buttstock","Skládací pažba AK","Faltbare AK-Schulterstütze","Складной приклад AK","Składana kolba AK","AK Folding Buttstock","Calcio pieghevole AK","Culata plegable AK","Crosse pliante de AK","AK 摺疊式槍托","AK 折り畳み式銃床","AK Folding Buttstock","AK 折叠枪托",
"str_cfgvehicles_ak_foldingbttstck1",			"A folding buttstock for AK based assault rifle.","A folding buttstock for AK based assault rifle.","Skládací pažba na útočné pušky AK.","Faltbare Schulterstütze für AK-basierte Sturmgewehre.","Складной приклад для автоматов системы AK.","Składana kolba do karabinu szturmowego AK.","A folding buttstock for AK based assault rifle.","Calcio pieghevole per fucili d’assalto di derivazione AK.","Una culata plegable para fusiles de asalto tipo AK.","Une crosse pliante pour les fusils de type AK.","摺疊式槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための折り畳み式銃床。","A folding buttstock for AK based assault rifle.","AK 型突击步枪的折叠枪托。",

"str_cfgvehicles_ak_bayonet0",					"AK Bayonet","AK Bayonet","Bajonet AK","AK-Bajonett","Штык для AK","Bagnet AK","AK Bayonet","Baionetta AK","Bayoneta para AK","Baïonnette de AK","AK 刺刀","AK 銃剣","AK Bayonet","AK 刺刀",
"str_cfgvehicles_ak_bayonet1",					"A bayonet for AK based assault rifles with a bayonet lug.","A bayonet for AK based assault rifles with a bayonet lug.","Bajonet na útočné pušky AK s montáží na bajonet.","Ein Bajonett für AK-basierte Sturmgewehre mit Bajonettaufsatz.","Штык для автоматов системы КА с выступом для крепления штыка.","Bagnet na karabin szturmowy AK z odpowiednim uchwytem.","A bayonet for AK based assault rifles with a bayonet lug.","Una baionetta per fucili d’assalto di derivazione AK dotati di attacco per baionetta.","Una bayoneta para fusiles de asalto AK, con un agarre de bayoneta.","Une baïonnette pouvant être fixée aux fusils d'assaut de type AK.","刺刀，可加裝在有刺刀座的 AK 系列突擊步槍。","着剣ラグのある AK ベースのアサルトライフルのための銃剣。","A bayonet for AK based assault rifles with a bayonet lug.","一种带有刺刀座的 AK 型突击步枪的刺刀。",

"str_cfgvehicles_ak74_woodbttstck0",			"AK Wooden Buttstock","AK Wooden Buttstock","Dřevěná pažba AK","AK-Holz-Schulterstütze","Деревянный приклад AK","Drewniana kolba AK","AK Wooden Buttstock","Calcio in legno AK","Culata de madera AK","Crosse en bois de AK","AK 木質槍托","AK 木製銃床","AK Wooden Buttstock","AK 木制枪托",
"str_cfgvehicles_ak74_woodbttstck1",			"A wooden buttstock for AK based assault rifle.","A wooden buttstock for AK based assault rifle.","Dřevěná pažba na útočné pušky AK.","Holz-Schulterstütze für AK-basierte Sturmgewehre.","Деревянный приклад для автомата системы AK.","Drewniana kolba do karabinu szturmowego AK.","A wooden buttstock for AK based assault rifle.","Calcio in legno per fucili d’assalto di derivazione AK.","Una culata de madera para el fusil de asalto tipo AK.","Une crosse en bois pour les fusils de type AK.","木質槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製の銃床。","A wooden buttstock for AK based assault rifle.","AK 型突击步枪的木制枪托。",

"str_cfgvehicles_ak74_hndgrd0",					"AK Wooden Handguard","AK Wooden Handguard","Dřevěné předpažbí AK","AK-Holz-Handschutz","Деревянное цевьё AK","Drewniane łoże lufy AK","AK Wooden Handguard","Paramani in legno AK","Empuñadura de madera AK","Garde-main en bois de AK","AK 木質扶手","AK 木製ハンドガード","AK Wooden Handguard","AK 木制护手",
"str_cfgvehicles_ak74_hndgrd1",					"A wooden handguard for AK based assault rifle.","A wooden handguard for AK based assault rifle.","Dřevěné předpažbí útočné pušky AK.","Hölzerner Handschutz für AK-basierte Sturmgewehre.","Деревянная ствольная накладка для автомата системы AK.","Drewniane łoże do karabinu szturmowego AK.","A wooden handguard for AK based assault rifle.","Paramani in legno per fucili d’assalto di derivazione AK.","Una empuñadura de madera para el fusil de asalto tipo AK.","Un garde-main en bois pour les fusils de type AK.","木質扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製のハンドガード。","A wooden handguard for AK based assault rifle.","AK 型突击步枪的木制护手。",

"str_cfgvehicles_acogoptic0",					"ACOG Scope","ACOG Scope","Optika ACOG","ACOG-Zielvisier","Прицел ACOG","Luneta ACOG","ACOG Scope","Mirino ACOG","Mira ACOG","Lunette ACOG","ACOG 瞄鏡","ACOG スコープ","ACOG Scope","ACOG 瞄准镜",
"str_cfgvehicles_acogoptic1",					"A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4-A1 assault rifle.","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4-A1 assault rifle.","Standardní optika se zvětšením 4x namontovatelná na lištu, určená na útočnou pušku M4-A1. Optika má záměrný kříž osvětlený tritiem.","Standardisiertes, schienengeführtes Zielfernrohr mit 4-facher Vergrößerung und Tritium-Leuchtabsehen. Mit M4-A1-Sturmgewehr kompatibel.","Стандартный реечный 4-кратный прицел с тритиевой подсветкой сетки, разработанный для автомата M4-A1.","Doczepiany do szyny uniwersalny celownik z podświetlaną trytem siatką i powiększeniem 4x. Pasuje do karabinu szturmowego M4-A1.","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4-A1 assault rifle.","Mirino montato su scanalatura standardizzato con ingrandimento 4x e reticolo illuminato alimentato a trizio, progettato per il fucile d’assalto M4-A1.","Un asa de riel estándar, con lente de aumento 4x y una retícula iluminada con tritio. Diseñada para el fusil de asalto M4-A1.","Une lunette standardisée à grossissement 4x montée sur rail avec réticule éclairé au tritium. Pour le fusil d'assaut M4-A1.","4X 放大倍率的標準導軌式瞄鏡，具氚氣式發光標線，適用於 M4-A1 突擊步槍。","M4-A1 アサルトライフルのためにデザインされ、三重水素で光る十字線を持つ、標準化されたレール取り付け型の 4x 倍率のスコープ。","A standardized rail-mounted, 4x magnifying scope with tritium-illuminated reticle designed for M4-A1 assault rifle.","为 M4-A1 突击步枪设计的标准化轨道式 4 倍放大镜，带氚照明分划板。",

"str_cfgmagazines_mag_vss_10rnd0",				"10rd VSS Mag","10rd VSS Mag","Zásobník VSS, 10 ran","10-Schuss-VSS-Magazin","Магазин для VSS на 10 пат.","Magazynek na 10 naboi VSS","10rd VSS Mag","Caricatore VSS 10 clp","Cargador VSS de 10 proyectiles","Chargeur 10 balles VSS","10 發 VSS 彈匣","10rd VSS マガジン","10rd VSS Mag","10 发子弹 VSS 弹匣",
"str_cfgmagazines_mag_vss_10rnd1",				"Detachable box magazine for VSS marksmen rifle. Holds up to 10 rounds of 9x39mm.","Detachable box magazine for VSS marksmen rifle. Holds up to 10 rounds of 9x39mm.","Odnímatelný schránkový zásobník na ostrostřeleckou pušku VSS. Pojme až 10 nábojů ráže 9x39 mm.","Abnehmbares Kastenmagazin für das VSS-Scharfschützengewehr. Fasst bis zu 10 Schuss 9x39mm-Munition.","Съемный коробчатый магазин для снайперской винтовки VSS. Вмещает до 10 патронов калибра 9x39 мм.","Zewnętrzny magazynek pudełkowy do karabinu precyzyjnego VSS. Mieści 10 naboi 9x39 mm.","Detachable box magazine for VSS marksmen rifle. Holds up to 10 rounds of 9x39mm.","Caricatore estraibile per fucile da tiratore scelto VSS. Contiene fino a 10 munizioni calibro 9x39 mm.","Un cargador desmontable para el fusil de tirador VSS. Contiene hasta 10 proyectiles de 9x39 mm.","Un chargeur amovible pour fusil de précision VSS. Contient jusqu'à 10 balles de calibre 9x39 mm.","可拆卸式盒裝彈匣，適用 VSS 特等射手步槍。最多能裝 10 發 9x39mm 子彈。","VSS マークスマンライフルのための取り外し可能な箱弾倉。9x39mm を最大 10 発装填できる。","Detachable box magazine for VSS marksmen rifle. Holds up to 10 rounds of 9x39mm.","VSS 精确射击步枪的可拆卸盒式弹匣。可容纳最多 10 发 9x39 毫米子弹。",

"str_cfgmagazines_mag_ump_25rnd0",				"25rd UMP-45 Mag","25rd UMP-45 Mag","Zásobník UMP-45, 25 ran","25-Schuss-UMP-45-Magazin","Магазин для UMP-45 на 25 пат.","Magazynek na 25 naboi UMP-45","25rd UMP-45 Mag","Caricatore UMP-45 25 clp","Cargador UMP-45 de 25 proyectiles","Chargeur 25 balles d'UMP-45","25 發 UMP-45 彈匣","25rd UMP-45 マガジン","25rd UMP-45 Mag","25 发子弹 UMP-45 弹匣",
"str_cfgmagazines_mag_ump_25rnd1",				"Detachable box magazine for UMP-45 submachine gun. Holds up to 25 rounds of .45 ACP.","Detachable box magazine for UMP-45 submachine gun. Holds up to 25 rounds of .45 ACP.","Odnímatelný schránkový zásobník na samopal UMP-45. Pojme až 25 nábojů ráže .45 ACP.","Abnehmbares Kastenmagazin für die UMP-45-Maschinenpistole. Fasst bis zu 25 Schuss .45 ACP-Munition.","Съемный коробчатый магазин для пистолета-пулемета UMP-45. Вмещает до 25 патронов калибра .45 ACP.","Zewnętrzny magazynek pudełkowy do pistoletu maszynowego UMP-45. Mieści 25 naboi .45 ACP.","Detachable box magazine for UMP-45 submachine gun. Holds up to 25 rounds of .45 ACP.","Caricatore estraibile per mitra UMP-45. Contiene fino a 25 munizioni calibro .45 ACP.","Un cargador desmontable para la metralleta UMP-45. Contiene hasta 25 proyectiles de .45 ACP.","Un chargeur amovible pour pistolet mitrailleur UMP-45. Contient jusqu'à 25 balles de calibre .45 ACP.","可拆卸式盒裝彈匣，適用 UMP-45 機關槍。最多能裝 25 發 .45 ACP 子彈。","UMP-45 短機関銃のための取り外し可能な箱弾倉。.45 ACP を最大 25 発装填できる。","Detachable box magazine for UMP-45 submachine gun. Holds up to 25 rounds of .45 ACP.","UMP-45 冲锋枪的可拆卸弹匣。可容纳最多 25 发 .45 ACP 子弹。",
